DateTime,Market1: Close,Market1: High,Market1: Low,Market1: Open,Market2: Close,Market2: High,Market2: Low,Market2: Open,Market2: Open_Interest,Market2: Volume,Market3: Close,Market3: High,Market3: Low,Market3: Open,Market3: Open_Interest,Market3: Volume
2015-01-05T00:00:00.000,276.6,282.7,274.4,281.4,6145,6275.5,6095.5,6255,301759,78077,45250.0,45570.0,44990.0,45500.0,704092.0,189194.0
2015-01-06T00:00:00.000,276.7,278.2,275.65,276.95,6145,6178,6114,6150,299683,50088,44570.0,44910.0,43980.0,44210.0,698540.0,447986.0
2015-01-07T00:00:00.000,275.85,277.65,274.8,276.0,6115,6151.5,6091.5,6130,297582,53173,44660.0,44840.0,44420.0,44640.0,700286.0,317816.0
2015-01-08T00:00:00.000,276.95,279.4,275.35,276.4,6104,6189,6103.85,6126.5,300723,55424,44740.0,44890.0,44580.0,44650.0,695008.0,208524.0
2015-01-09T00:00:00.000,275.45,277.6,273.85,276.7,6090,6148.5,6073.5,6132,303841,48765,44550.0,45050.0,44250.0,45000.0,725376.0,384066.0
2015-01-12T00:00:00.000,272.55,276.0,270.0,275.7,6017,6102.25,5966,6096,310639,55370,44140.0,44450.0,43790.0,44100.0,746406.0,403724.0
2015-01-13T00:00:00.000,264.4,272.9,258.6,272.15,5860,6034,5774.75,6019.25,308695,86674,43360.0,43720.0,42880.0,43400.0,786284.0,404006.0
2015-01-14T00:00:00.000,250.55,261.7,242.35,260.9,5548,5790.25,5353.25,5770,310049,161329,42150.0,42700.0,41190.0,42300.0,791292.0,408472.0
2015-01-15T00:00:00.000,255.8,259.5,251.7,253.5,5630,5724,5555,5562.75,305635,109631,40520.0,41230.0,39820.0,40600.0,794756.0,1020638.0
2015-01-16T00:00:00.000,261.7,263.4,254.05,258.2,5715,5797.5,5606,5657.25,308561,58164,40800.0,41470.0,40330.0,41080.0,804088.0,323734.0
2015-01-19T00:00:00.000,,,,,5672,5780,5630,5770,307033,45269,41190.0,41660.0,40510.0,40630.0,787562.0,298172.0
2015-01-20T00:00:00.000,259.4,263.6,255.5,263.35,5690,5768,5650,5668.5,297968,51958,41170.0,41450.0,40860.0,40970.0,787024.0,259190.0
2015-01-21T00:00:00.000,261.25,263.35,253.25,259.4,5771,5805,5590,5707.5,302944,60324,41180.0,41420.0,40970.0,41310.0,797658.0,236348.0
2015-01-22T00:00:00.000,257.85,261.25,255.6,260.75,5665,5760,5640,5753.5,305088,45513,41410.0,41990.0,40730.0,40850.0,789206.0,350340.0
2015-01-23T00:00:00.000,250.15,258.55,248.9,258.2,5519.5,5704,5502,5692.5,308013,62339,40910.0,41620.0,40410.0,41290.0,847050.0,480318.0
